session_key,meeting_key,date,driver_number,pit_duration,lap_number
9488,1231,2024-03-24T04:10:44.051000+00:00,3,18.2,5
9488,1231,2024-03-24T04:12:03.960000+00:00,23,17.7,6
9488,1231,2024-03-24T04:12:08.895000+00:00,24,19.0,6
9488,1231,2024-03-24T04:13:22.694000+00:00,44,17.5,7
9488,1231,2024-03-24T04:13:27.578000+00:00,20,18.3,7
9488,1231,2024-03-24T04:14:42.668000+00:00,63,18.0,8
9488,1231,2024-03-24T04:14:44.598000+00:00,18,17.9,8
9488,1231,2024-03-24T04:15:18.023000+00:00,77,46.9,8
9488,1231,2024-03-24T04:16:00.710000+00:00,16,17.4,9
9488,1231,2024-03-24T04:16:02.012000+00:00,81,17.5,9
9488,1231,2024-03-24T04:16:09.821000+00:00,22,18.5,9
9488,1231,2024-03-24T04:16:14.735000+00:00,31,18.2,9
9488,1231,2024-03-24T04:22:56.216000+00:00,4,17.7,14
9488,1231,2024-03-24T04:23:04.121000+00:00,11,18.1,14
9488,1231,2024-03-24T04:25:32.675000+00:00,55,17.5,16
9488,1231,2024-03-24T04:26:30.153000+00:00,31,30.6,16
9488,1231,2024-03-24T04:27:25.795000+00:00,14,18.1,17
9488,1231,2024-03-24T04:27:48.004000+00:00,27,18.3,17
9488,1231,2024-03-24T04:27:53.252000+00:00,10,20.3,17
9488,1231,2024-03-24T04:41:53.767000+00:00,23,17.7,27
9488,1231,2024-03-24T04:44:47.613000+00:00,3,17.7,29
9488,1231,2024-03-24T04:50:17.139000+00:00,20,18.1,33
9488,1231,2024-03-24T04:50:53.181000+00:00,16,17.3,34
9488,1231,2024-03-24T04:52:36.668000+00:00,11,17.2,35
9488,1231,2024-03-24T04:52:59.402000+00:00,27,18.1,35
9488,1231,2024-03-24T04:53:28.344000+00:00,24,36.8,35
9488,1231,2024-03-24T04:54:17.272000+00:00,22,17.5,36
9488,1231,2024-03-24T04:54:49.601000+00:00,77,18.9,36
9488,1231,2024-03-24T04:55:38.194000+00:00,18,17.9,37
9488,1231,2024-03-24T04:57:51.886000+00:00,81,18.5,39
9488,1231,2024-03-24T04:59:05.080000+00:00,4,17.6,40
9488,1231,2024-03-24T05:00:15.825000+00:00,55,17.7,41
9488,1231,2024-03-24T05:00:56.344000+00:00,14,17.9,41
9488,1231,2024-03-24T05:01:39.520000+00:00,10,17.6,41
9488,1231,2024-03-24T05:03:10.391000+00:00,31,18.0,42
9488,1231,2024-03-24T05:06:26.148000+00:00,63,17.9,45
